Restaurant,Cuisine
Chicks 'N' Friends Restaurant - Fresh Chicken,"Fried Chicken, American, Sandwiches"
Al Dar Butchery,"Butchery, Grocery"
Latea,"Beverages, Healthy"
Quality Pets Shop,Pet Shop
Taste Of Asia Restaurant,"International, Asian, Japanese"
Healthy Champs Restaurant,"Healthy, International"
Tabkhati By Sofraji,"Arabic, Lebanese"
Manahel Althunayyan,Desserts
New Asia Flavours Restaurant,"Indian, Chinese"
Come And Eat,"Indian, International, Chinese"
Yadoo's House,"Arabic, Breakfast, Emirati"
Bou Kharkhash,Grocery
Patron Meat House Resturant,"Grills, Arabic, American"
Rainbow Gourmet,"American, Seafood, International"
Bon Cafe,"Beverages, Cafe"
Seven Stars Cafe,"International, Arabic, Italian"
Pizza Al Taglio,"Pizza, Desserts, Italian"
Dairy Queen,Desserts
British Handi,"Indian, Asian"
Healthy & Yummy Zone Hayz,"Healthy, Sandwiches, Breakfast"
John Daniel Restaurant,"Burgers, International, American"
Kaak Al Manara Bakery & Eatery,"Arabic, Healthy, Lebanese"
The Clubhouse,"American, International"
Deirat Hali Restaurant and cafe,"Arabic, Cafe, Desserts"
Belgium Waffles,"Desserts, Beverages, Cafe"
Al Amoor Express,Egyptian
Al Areesh Pastry,"Egyptian, Pizza"
Muncheeze,"American, Burgers, Sandwiches"
The Hangout,"Lebanese, Sandwiches, International"
Laderach Chocolatier Suisse,"Specialty Store, Desserts, International"
Calla Lily Cafe,"Cafe, Desserts, Beverages"
Al Janadriah For Mandi & Madhbi Restaurant,"Mandi, Emirati, Arabic"
Labneh wa Zaatar,"Arabic, Lebanese"
La Maison Gateau,"Cafe, Desserts"
Pane Mio,"Italian, Pizza"
Al Bait Al Afghani Restaurant & Cafetreia,"Grills, International"
Lebanon Village Restaurant,"Arabic, Grills, Lebanese"
Al Janoob Mandi Restaurant,"Arabic, Mandi"
Al Andalus Bakery,"Bakery and Cakes, Desserts"
Tony's Confectionery,"Cafe, Desserts, Pizza"
Frappy Cheerful Blend,"Beverages, Healthy, Sandwiches"
Androon Lahore Restaurant,"Indian, Pakistani"
Chinese Kitchen,"Chinese, Seafood, Asian"
Al Anfalus Fish Restarant,Seafood
Shakespeare and Co.,"International, American, Cafe"
Qinghaihu Chinese Muslim Restaurant,"Asian, Chinese, Seafood"
Daskalides Chocolatier,"Specialty Store, Chocolate , Grocery"
Mashrou3 Tabkha,"Lebanese, Arabic, Healthy"
SMAT,"Emirati, Breakfast, Healthy"
51 Rainbow Ice Cream,"Beverages, Desserts"
Skinny Genie,Healthy
Al Mashawi Al Halabya,"Arabic, Shawarma & Doner, Lebanese"
House of Pops,"Specialty Store, Desserts, Healthy"
Treej Cafe,"Emirati, Arabic, Breakfast"
Bait Aldeira,"Mandi, Emirati, Arabic"
Floe ice cream,"Desserts, Beverages, Cafe"
WINGO  House of Wings,"Wings, Fried Chicken, Hot Dogs"
Off The Hook,Seafood
Zero Cafe,"Italian, American, Burgers"
Moments by Soulfull,"International, Healthy, Sandwiches"
Gnarly Burgers,"American, Burgers"
Alreyadi Diet Food,"Healthy, Breakfast, Grills"
Knights & Lords Bespoke,"Specialty Store, Grocery"
Fujiyama Restaurant,"Asian, Japanese, Seafood"
Isfahan Nights Restaurant,Iranian
Rose Amor,Flowers
Allo Beirut,"Arabic, Lebanese, Sandwiches"
Lana Chocolates,"Cafe, Desserts, Beverages"
Barracuda Restaurant,"Egyptian, Arabic, Seafood"
Fish Basket,"Seafood, Arabic, American"
New Kozhikode Star Restaurant,"Asian, Beverages, Indian"
Bakericious,"Italian, Seafood, International"
Once Upon a Bite,"Indian, Italian, Chinese"
Nonna Lebanese Kitchen,"Arabic, Sandwiches"
Sukar Cafe,"Desserts, Beverages"
Caesars Restaurant,"Chinese, Indian, Iranian"
New York Fries,"American, Fast Food, Sandwiches"
Attibassi Cafe,"International, Beverages, Cafe"
Mister Baker,Desserts
Al Itekal Pharmacy,Pharmacy
Kashonah cafe,"Seafood, International, American"
Red Rooster,"Mexican, Healthy"
Masaya,"Arabic, Grills"
Melt Sliders,"Burgers, Desserts"
Beyond Burger,"Italian, Burgers, Healthy"
Mizan Cafe,Cafe
Ever Fresh Hypermarket,Grocery
Aden Restaurant for Mandi & Madhbi,"Emirati, Arabic, Mandi"
Ovenstory Pizza,"Pizza, Fast Food, Italian"
HASHI,"Asian, Healthy, Japanese"
Monkey cookies,"Specialty Store, Desserts"
Mighty Melt Sandwiches,"Sandwiches, Wings, American"
Arsalan Restaurant,"Indian, Iranian, Arabic"
Koukh Al Shay,"International, Beverages, Burgers"
Lokmet Gibran,"Lebanese, Sandwiches, Arabic"
Al Oberg Restaurant,"Lebanese, Arabic, Breakfast"
Tea Party Cafe,"Fast Food, Grills, American"
Huff and puff burger,Burgers
Chemex Cafe,Cafe
Cake N Bake Pastry and Confectionery,Desserts
Fresh Fishing Fish Trading,Grocery
Dindigul Thalappakatti Biriyani Restaurant,"Indian, Pakistani, Asian"
Al Baz Restaurant & Cafeteria,"Arabic, Lebanese, Sandwiches"
Lokma and Lokaimat,"Emirati, Arabic, Desserts"
Smoking Doll Restaurant,"Japanese, Thai, Asian"
95 Degrees Speciality Coffee,"Cafe, International"
Cheesy,"Burgers, Sandwiches"
Kris Kros Lebanon,"Lebanese, Sandwiches, Arabic"
Al Hatee Restaurant,"Arabic, Grills, Egyptian"
The Acai House,"Healthy, American, Desserts"
Suki Pinoy,"Asian, Seafood, International"
Burger Ala Almazaj,"Burgers, Sandwiches"
The Farm,"International, Indian, Thai"
Layali Al Barsha,"Arabic, Grills, Sandwiches"
Mall View,"Arabic, Chinese, Indian"
Salad Culture,Healthy
Al Tahoona Pastry,"Arabic, Breakfast, Pizza"
Fresh Chicken King,"Arabic, Sandwiches, International"
Cafeteria Falafil Khalifa,"Arabic, Breakfast, Sandwiches"
Sheikh & Shake,"American, Burgers, Pizza"
Bombay Haji Ali Star Cafe,"Indian, Sandwiches"
Chelo,"International, Iranian"
Surabhi,"Indian, Arabic"
Hot Dog Garage,"American, Burgers, Sandwiches"
Crazy Over Acai,"Healthy, Desserts"
Manna Land Korean Restaurant,"Asian, Seafood, International"
Mezza House,"Lebanese, Arabic, Desserts"
Al Bait Al Ateeq Restaurant,"Arabic, Shawarma & Doner, Breakfast"
Al Mumthaz Pasteries,"Arabic, Healthy, International"
Kozhikode Star Restaurant,"Asian, Indian, Seafood"
Al Fwala Omani Sweets,Desserts
Cocoaroom,"Breakfast, International"
Sarood Yadooh Kitchen,"Arabic, Healthy, Emirati"
Fenyal Al Asala Cafeteria,"Cafe, Emirati, Arabic"
Diet Life Restaurant,"Healthy, Indian, Breakfast"
NY Pizza and More,"Pizza, Pasta, American"
Gold Kunafa Sweets,Desserts
Tea Street Cafeteria,"Burgers, Sandwiches, Beverages"
Bonn Cafe,"Burgers, American"
Stefanos,"International, Sandwiches"
Alstroe Meria,"Cafe, Italian"
Let`s Wok,"Asian, Chinese, Thai"
Okame Restaurant,"International, Japanese"
Segafredo,"Sandwiches, Breakfast, Italian"
The Coffee Club,"American, Breakfast, International"
Get Plucked,"American, Burgers, International"
Billo,"Burgers, Desserts, Sandwiches"
Yalangi Cafe,"Arabic, Lebanese"
Fresh Juice Hub,Beverages
Finjan Cafe,"Burgers, Italian, Japanese"
TGI Fridays,"American, Burgers, Grills"
Sumo Sushi and Bento (Dubai Media City),Japanese
Bella Venezia Pasta & Pizza,"Italian, Pizza"
Mughlai Curries & Biryani,"Pakistani, Asian, Indian"
Davinchy Cafe,"Bakery and Cakes, Italian"
The Monk,"Asian, Chinese, Thai"
Tikka Bu Taila Restaurant,"Arabic, Grills"
Tikka Tonight Restaurant,"Pakistani, Arabic, Indian"
Zahra's Kitchen,Arabic
Ur Destination,"Beverages, Desserts, Healthy"
Manoushe from Beirut,"Breakfast, Healthy, Lebanese"
I DO,"Desserts, American"
Al Fawwar Restaurant,"Arabic, Lebanese, Sandwiches"
Fatayer Ala Keefak,"Arabic, Breakfast, Lebanese"
IZA Delights Restaurant,"Arabic, Chinese, Indian"
MLT Restaurant,"Cafe, Sandwiches, International"
DOH Cafe,Desserts
Estekana Cafe,"Cafe, Lebanese"
The Waresh Express,"Healthy, Cafe, Desserts"
Lati Cookies,"Desserts, Cafe"
Pasta 2 Go,"Pasta, Italian, International"
Easy Tiger Restaurant,"American, Burgers, International"
Pizza Pollo LLC,"Pizza, Italian"
Azzam`s Kitchen,"American, Mexican"
Siomai House,"Asian, Healthy"
Madar Al Shams Hypermarket,Grocery
Snugbowl,"Asian, International, Arabic"
Wooden Pizza,"Healthy, Italian, Pizza"
Welcare Pharmacy,Pharmacy
Burger Ghair,"American, Burgers, Arabic"
Koshari & Daqha,"Arabic, Egyptian"
The Yogurt And Chocolate House,"Bakery and Cakes, Cafe, Desserts"
Bon Appetit,"American, Italian, International"
Karakoy Gourmet,"Grocery, Turkish"
Chinese Dynasty,"Asian, Chinese, International"
Leisure,"Emirati, Italian, Lebanese"
Leyeli Sham,"Arabic, Pizza"
Dose Cafe 1020,"Cafe, Desserts"
Crnch,"Burgers, Fast Food"
SIP,Cafe
Burger Master,"Burgers, Sandwiches, American"
Robot Shawarma Restaurant,"Arabic, Shawarma & Doner, Sandwiches"
Bresso Cafe,"Burgers, Sandwiches, International"
Burger Bureau,"Burgers, American"
Alshabrawi Alasli,"Egyptian, International, Arabic"
Big Bite Cafe,"Egyptian, Arabic, Healthy"
11:11,"Cafe, Desserts"
Kababak Restaurant,"Iranian, Grills"
Acai Snacks,"Healthy, Snacks "
California Fresh Chicken,"Burgers, Sandwiches, Beverages"
Olivia Flowers,Flowers
White Deer Cafe,"Cafe, Desserts, Beverages"
Blue Heron Restaurant,"Indian, Arabic, Chinese"
Rukn Al Jood Mandi Restaurant,"Mandi, Arabic"
M.R Gourmet,"Asian, Indian, International"
The Frozen Factory,Desserts
Firas Sweets,"Arabic, Desserts"
Lebanese Restaurant,"Lebanese, Arabic, Grills"
Cerutti Cafe,"Cafe, Italian, Sandwiches"
HQ'S 459,"Cafe, Seafood, International"
Lghawees Burger,"Burgers, Italian"
JJ Chicken,"Arabic, Healthy, Lebanese"
Mandi Time Restaurant,"Arabic, Grills, Mandi"
Ola Mexican Grill,"Mexican, Vegetarian"
Nabeel Ahmed Restaurant,"Pakistani, Grills, Indian"
The Burgerista,"American, Burgers"
Vue Restaurant,"Cafe, International, Salads"
Ziryab Restaurant,"Arabic, Lebanese, International"
Fit Pro Cafe,"Cafe, Healthy"
Loqmtna W Kosharina,"Arabic, Sandwiches, Egyptian"
Texas Chicken,"American, Burgers, Sandwiches"
Peshawar Restaurant,American
Mooj Seafood,Seafood
B & B,"Breakfast, Beverages"
La Serre,Breakfast
Original Wings & Rings,"American, Burgers"
Tandoor Grill Kitchen,Indian
Biryani Folks,Indian
Kabab Ahlna Restaurant,"Arabic, Grills"
Chopt Salad,"Healthy, Sandwiches, Vegetarian"
Atisuto,"Japanese, Asian"
New Sol Restaurant,"Burgers, Cafe"
Al Farooj Al Shami,"Sandwiches, Arabic, Grills"
Prego Cafe,"Cafe, Healthy, Breakfast"
Brooks Cafe,"Beverages, Breakfast, Cafe"
California Pizza Kitchen,"Pizza, American"
Nando's Restaurant,"International, Burgers, Sandwiches"
Rose London For Flowers Gifts & Event Managment,Flowers
Bombay Chaat Bhandar,Indian
Al Ajaweed Mandi & Madfoon Restaurant,"Mandi, Emirati, Arabic"
Karandi's Cafeteria,Indian
Sandwich Nation,"Sandwiches, Cafe"
Mama'esh,Arabic
Texas Roadhouse,"Burgers, International, American"
Bursa Kebap Evi,"International, Turkish"
Famous Dave's,"American, Burgers"
Best Kitchen Restaurant,"Grills, Indian, Pakistani"
Lulu Fried Chicken,Sandwiches
Granite Express Cafeteria,"Arabic, Burgers, Indian"
Noor Makkah Pharmacy,Pharmacy
Feta Restaurant,"Seafood, International, Grills"
Bhoujan,"Indian, Chinese"
Bob`s House,"American, Lebanese"
Asian Wok,"Chinese, Thai, Asian"
Le Pollen Flower,Flowers
Manoushe W Nos,"Lebanese, Breakfast"
Bhuk Box,Indian
Khor Al Mukalla Restaurant Mandi,"Mandi, Arabic"
Fizz Cafe,"Burgers, Cafe, Italian"
Guy Fieri,"Burgers, Sandwiches, American"
Balcon Restaurant & Cafe,"Arabic, Lebanese, International"
Zahrat Abeer Restaurant And Cafe,"Arabic, Asian, Lebanese"
Silog Express,"Asian, Cafe, Seafood"
Qumasha Rest,"Breakfast, Emirati, Arabic"
Ous Restaurant,"Burgers, Italian, Seafood"
ZEROFAT,"Healthy, Sandwiches, Breakfast"
Pak Nemat Kadah Restaurant,"Pakistani, Asian, Indian"
The Media Lounge Restaurant & Cafe,"Italian, Lebanese, Cafe"
Ecco Pizza & Pasta,"Italian, Pizza"
Armania Restaurant,Indian
Truck Adda Restaurant,"Indian, Pakistani, International"
Line Of Purpose,Grocery
Cowboy Grill Seafood Restaurant,"Seafood, Grills"
1Million Cafe,"Cafe, Desserts, Beverages"
Casa Pinoy Restaurant,"Asian, Chinese, Seafood"
Mini Delights,"Desserts, Emirati, Breakfast"
The Suspect Cafe,"Japanese, Burgers, Italian"
Frazer Town Restaurant,"International, Arabic, Indian"
Badeyat Al Khaleej Restaurant,"Mandi, Arabic, Pizza"
Al Maleka Burger,"American, Burgers, Fast Food"
Pasta La Vista,"Italian, Pizza"
Al Falamanki Restaurant,"Lebanese, Arabic, Breakfast"
Kawkab Italian pizza,"Pizza, Seafood, Italian"
Sis Burger,"Burgers, American"
Happy Yemen Restaurant,"Arabic, Mandi"
Agemono Grill,"Asian, Healthy, Seafood"
Flamingo Cookies,Desserts
Al Ijaza Cafeteria,"Sandwiches, Arabic, Cafe"
Roob and Ruman Cafeteria,"American, Burgers, Fast Food"
Saj & Co.,"Arabic, Lebanese, Sandwiches"
Desi Bistro,"Indian, Vegetarian, Chinese"
Saba Mandi And Madhbi Restaurant,Arabic
Ocean Basket,"Seafood, Japanese"
Makani Restaurant,"Indian, International"
Bait Al Mahashi,"Arabic, Lebanese, Egyptian"
Goldenhands Flowers,Flowers
Merw Honey,"Specialty Store, Grocery"
Quick Burger,"American, Burgers"
Taj Al Madinah Restaurant,"Indian, Chinese"
Arabica,"Cafe, Beverages, Specialty Store"
Lebanese Automatic Restaurant & Grills,"Lebanese, Sandwiches, Arabic"
Belgium Waffles,"Desserts, Beverages, Cafe"
SpiceKlub,"Indian, International, Asian"
Plus Pastries,International
Ahwanji Cafe,"Beverages, Breakfast, Desserts"
Triple Seven Cafe,"Cafe, Desserts, Beverages"
Bint al noukhatha rest,"Emirati, International"
Drama Vibes,"Burgers, American"
Road House,"Burgers, Sandwiches, American"
Steak Fish Sea Food Restaurant,"Seafood, Emirati, Sandwiches"
Automatic Restaurant & Cafeteria,"Sandwiches, Lebanese"
Ydoom,"Egyptian, Arabic"
Felix & Norton,"Desserts, Beverages"
Golden Shrimp,"Seafood, Burgers, Italian"
Toks,"Italian, International, American"
El Karmooty,"Arabic, Seafood"
Indian Homemade Bakery and Restaurant,"Indian, Arabic"
The Ordinary,Cosmetics
Mister Idli Restaurant,"Asian, Indian, Vegetarian"
Tranzeet Burger,"Burgers, Fast Food, American"
Coastal Butlers,"Indian, Breakfast"
Saraya Istanbul restaurant,"Turkish, Arabic, Pizza"
Al Diwan Al Malaki,Grocery
ChickInn,Grills
Akalna Ghyr Restaurant,"Emirati, Lebanese, Sandwiches"
Kashk Bazanjan Restaurant,"Turkish, Arabic, Chinese"
Hawaii Burger,"Burgers, Fast Food, International"
The Cake Lab,Desserts
Naples By Cafe Barbera,"Sandwiches, Grills, Italian"
Dickey's Barbecue Pit,"American, Grills"
Nad Wasit,"Arabic, Chinese, Indian"
Tony's Confectionery,"Cafe, Desserts, Pizza"
The Glasshouse,"Burgers, Pizza, International"
Quick & Fresh,Burgers
D Zoi Snacks,"Beverages, Burgers, Italian"
Julie's Restaurant,"Sandwiches, International, Breakfast"
City Cafe,"Sandwiches, Beverages"
Foul W Hummus,Arabic
Bear Bowls,International
Koshary AbuTarek & Halawani Restaurant,"Egyptian, Arabic"
Sobhy Kaber Restaurant,"Egyptian, Arabic"
Montone Italian Food,Grocery
Ryooq Cafe and Restaurant,"Breakfast, Emirati"
Gunaydin,Turkish
Pizza de Roma,"Pizza, Breakfast, Italian"
Bartek`s Pizza,
Shakey's Pizza Parlor,"Pizza, American"
Pizza Way,"Pizza, Italian"
O'Doner,"Turkish, Shawarma & Doner, Sandwiches"
Rumelia Roastery,"Specialty Store, Arabic"
Thai Beef Salad Restaurant,"Asian, Healthy, Thai"
Azzurri Cafe,"Cafe, Italian, International"
Sama Al Khaleej Pastry,"Arabic, Lebanese, Pizza"
Joud Cafe,"Cafe, Desserts, International"
The Gluten Free Shop,"Desserts, Healthy"
La Pizza,"Asian, American, Pizza"
Cake Hut Sweets And Pastries,"Desserts, Frozen Yogurt, Cafe"
Little Lahore,"Pakistani, Vegetarian, Asian"
Barbor,"Arabic, Shawarma & Doner, Sandwiches"
Layali El Dahan,"Egyptian, International, Arabic"
Sthan,"Indian, Pakistani, Vegetarian"
Kshar Kollector,Cafe
Al Lulua Al Jadeed Al Shaabi Kitchen,"Arabic, Emirati, International"
Noodles,"Asian, Chinese"
Crane Speciality Coffee,"Cafe, Desserts, Beverages"
Masgouf,Arabic
Mughal E Azam,"Pakistani, Asian, Indian"
Dar Al Mandi,"Arabic, Seafood"
Azkadenya,"Arabic, Lebanese"
Pizza world,"Pizza, Desserts, Italian"
Mr Man' oosh  Pizzeria,"Arabic, Breakfast, Pizza"
Casa Pons,"Specialty Store, Grocery"
KOREAN KITCHEN RESTAURANT,"Asian, Chinese, International"
The Oriental Chef,"Chinese, Japanese, Thai"
Brothers Restaurant,"Arabic, Mandi"
Sabiys Cafe,"Burgers, Sandwiches, American"
Mexican Kitchen,"Mexican, International, Beverages"
Amaravathi Restaurant,Indian
Play Restaurant & Lounge,"Asian, Sandwiches, International"
Honey Cake,Desserts
Shrimp Kingdom,"Seafood, International"
Gulf Express,Grocery
Al Salsa Al Italia,"Italian, Beverages"
Hot Palayok Restaurant,"Asian, Desserts, International"
Chennai Chettinadu,"Indian, Breakfast"
Abul Nawas Restaurant,"Arabic, Lebanese, Sandwiches"
Bakery House,Arabic
Matthiola Flowers,Flowers
Jra Restaurant,"Arabic, International"
ILPIZZAIOLO RESTAURANT,"Italian, Pizza"
Trouvaille,"Lebanese, International, Healthy"
Petra Meat Shop,"Butchery, Grocery"
Dream Island Cafeteria,"Beverages, Sandwiches"
Sunrise Refreshment,"Sandwiches, Burgers, Cafe"
The Pizza Company,"Pizza, Italian"
Burgers on Broadway,"American, Burgers"
Nolu's Restaurant,American
Panoor Restaurant,"Indian, Arabic, Chinese"
Cafe Havana,"Italian, Pizza, International"
Qasr Al Jabal,"Fast Food, Burgers"
Royal Mughal Restaurant,"Healthy, Indian, Seafood"
Beit Em Noor,"Arabic, Lebanese"
Riz Corner Cafe,"Burgers, Sandwiches"
The Rotisserie Restaurant,"Italian, Sandwiches, International"
Mile 7 Restaurant,"Burgers, Sandwiches, International"
Dessi Cuppa,"Beverages, Burgers, Sandwiches"
Samaya Hotel,"Arabic, International"
Chinese House Restaurant,"Asian, Chinese"
OJ's Neighborhood,"Breakfast, Cafe, International"
Al Shami Cafeteria and Restaurant,"Arabic, Lebanese"
Bluefin Sushi,"Japanese, Seafood"
Konafa & Tea Sweets,"Cafe, Desserts"
Iran Zamin,"Iranian, Grills"
Qaser Al Falafil,"Arabic, Sandwiches"
Gaga burger,Burgers
Engine Burger,"Burgers, American"
Afghan Al Bukhari Restaurant,Pakistani
Al Ain Pharmacy,Pharmacy
Sarap Nation,"Asian, Breakfast, International"
Shawarma,Shawarma & Doner
La Vida Juice & Cafe,"Beverages, Desserts"
Khan Saheb,Indian
Fawarli Sweets,"Burgers, Desserts, Beverages"
Nasr Grill Restaurant,"Arabic, Lebanese"
I Healthy,"Healthy, Sandwiches"
Todd English Food Hall,"American, Italian, Asian"
Sealand,"Indian, Seafood, Chinese"
Dunkin,"Desserts, Cafe"
Forty Fruity,"Healthy, Beverages, Desserts"
Al Hareef,"Egyptian, Arabic, Grills"
Vtamino,"Grocery, Nutrition"
Crispy Burger,"Burgers, Italian, American"
Vrindavan Restaurant,"Indian, Vegetarian, Snacks "
Fish Hut,"Arabic, Desserts, Seafood"
First Avenue Cafe,"Cafe, Breakfast, Burgers"
Fajitas Station,"Arabic, Sandwiches, International"
Mehdi Abdul Ghaffar Bakery,"Bakery and Cakes, Emirati, Arabic"
Zahrat Damscus Restaurant,"Arabic, Lebanese"
Mishkaki,"Arabic, Emirati"
FF3 Cafe,"Cafe, International"
The Stables,"American, Mexican"
GNG Cafe,"Cafe, Desserts"
Panda Cookies,"Specialty Store, Desserts"
Huqqa Restaurant and Coffee Shop,"Turkish, International"
Shawerma Shams Alsham,"Arabic, Shawarma & Doner, Grills"
Perfetta Pizza,Pizza
Fuchka Wala,"Indian, Vegetarian, Healthy"
Jaffer Bhai's Restaurant,"Indian, Vegetarian, Chinese"
Spicy Corner Restaurant,"Arabic, Indian"
Shami Gourmet,"Arabic, Lebanese, Sandwiches"
China Club,"Chinese, Asian"
Healthy First Restaurant,Healthy
ENZO - FAST ITALIAN,"Healthy, Sandwiches"
WingStop,American
Ace Of Beans,Cafe
After You Sweets,Desserts
Argana Restaurant,"Arabic, International"
Shawarma Restaurant,"Arabic, Shawarma & Doner"
Toshka Restaurant,"Arabic, Grills, Sandwiches"
AZF Coffee Station Specialty Coffee,"Breakfast, Cafe, American"
Kanari Al Sham Restaurant & Grills,"Lebanese, Sandwiches, International"
Bangkok Town Restaurant,"Thai, Asian"
Bawabat Damascus Pastries & Grills,"Arabic, Seafood, International"
SCHATZBURGER,"Burgers, Fast Food, Sliders"
Khafaya Cafe,"Breakfast, Cafe, Desserts"
Loyal Trading,Grocery
Escape From New York Pizzeria,"Pizza, Pasta, Italian"
Sopranos,"Italian, Pizza"
Kraft & Honey Pastries,"Desserts, Pizza, Breakfast"
Almaz by Momo,"Lebanese, Arabic"
Oxygen Burger,"Burgers, American"
Agra Taj Restaurant,"Burgers, International, Asian"
Ezgourmet Fusion Kitchen,Seafood
Bentoya Kitchen,"Japanese, Healthy"
Al Ameed Coffee,"Specialty Store, Roastery"
HumYum,"Arabic, Burgers, Cafe"
Pastry by Shakespeare and Co.,Desserts
The Tea Story Cafe,"Sandwiches, Breakfast, Burgers"
The Royal Bukhari Restaurant,Emirati
Khan Murjan,"International, Arabic, Lebanese"
Biryani Box,"Indian, Pakistani, Grills"
Al Yemen Mandi Restaurant,Mandi
KATSUYA by STARCK,"Asian, Japanese"
Shrimp Shade,"American, Seafood, Arabic"
Riso Restaurant,"Indian, Mexican, Pizza"
Avocado Cafe,"Cafe, Desserts"
L'Amoroso,"Italian, Pizza"
Laloca Café,"Cafe, Beverages"
Al Hajrain Restaurant & Kitchen,"Mandi, Arabic"
High Land Palace,"Grills, Indian, Snacks "
Bait Al Zaeem Restaurant,"Arabic, Sandwiches"
Shakey`s,"American, Desserts, Pizza"
KING Juice,"Desserts, Healthy"
Kababi Restaurant,"Arabic, Iranian, Emirati"
Gabbar's Grill,Indian
Bombay Canteen,"Indian, Vegetarian, Healthy"
Hatch Chicken,"American, Burgers, Sandwiches"
Sharjah Palace Restaurant,"Seafood, Pakistani, Indian"
Glucose,"Breakfast, Cafe, Desserts"
Forni Pizza,"Pizza, Italian"
Flames of Flavors,"Chinese, Indian"
Chennai Curry,Indian
ever freshener,"Specialty Store, Grocery"
Grand Bake Sweets and Pastries,"Desserts, Snacks "
Turbo Karak Restaurant,"Emirati, Beverages, Sandwiches"
The Perk Cafe,"Cafe, Desserts"
Doner Basha,"Arabic, Breakfast, Sandwiches"
Meera Cafe,"Emirati, Breakfast, Burgers"
Koukh Al Shay,"International, Beverages, Burgers"
Tribal Restaurant And Coffee,"Burgers, Sandwiches, American"
GNC,"Pharmacy, Nutrition, Grocery"
Morwarid Restaurant,Arabic
Fanan Gardens and Flowers,Flowers
Grandiose Supermarket,Grocery
Asia Grill Cafe,"Asian, Chinese, Fast Food"
Cook Door,"Burgers, Sandwiches"
New Sweet Burger,"Burgers, Indian"
Baron Restaurant & Cafe,"Arabic, Lebanese, International"
Biryani Bomb,"Indian, Vegetarian"
Stop And Eat Snaks,"American, Fast Food, Italian"
Al Bait Al Thahaby,"Asian, Burgers"
Kabab & Rigag Restaurant,"Emirati, Desserts, Sandwiches"
Potato Hut,American
Pop City,"Desserts, Frozen Yogurt"
Zafran Pot,"Indian, Desserts, Grills"
Hong Kong Chinese,Chinese
"Yo, Mo! Coffee","Cafe, Beverages, Breakfast"
Pizza Pino,"Healthy, Italian, Pizza"
Slider HQ,"Burgers, Sandwiches"
Healthy station restaurant,"Healthy, Snacks "
Smart Calories,Healthy
Al Hara Al Masriah Restaurant,"Egyptian, Arabic, Seafood"
Paper Fig Desserts,International
Baisan Iranian Restaurant,"Iranian, Arabic"
Beit Setti Restaurant,"Arabic, Breakfast, Lebanese"
Rich and fresh Supermarket,Grocery
Kabana,"Turkish, International"
I DO,"American, Desserts"
Reef Al Yemen Mandi Rest,"Arabic, Mandi"
ZOOM,Grocery
Treat Gourmet,"Italian, Pizza, Burgers"
Peppers International Cuisine,"International, Burgers, Italian"
Emirates Nights,"Arabic, Sandwiches, Egyptian"
GiGi Burger Cafeteria,"Burgers, Sandwiches, American"
Black Tap Craft Burgers & Shakes,"American, Burgers"
London Juice,"Beverages, Frozen Yogurt"
Hot Burger,"Burgers, Sandwiches, American"
Darna Restaurant,"Pizza, Shawarma & Doner"
Biryani and Barbecue Haven,"Indian, Vegetarian, Snacks "
AlNakha Al Emarati Restaurant and Kitchen,"Arabic, Mandi, Emirati"
Ala Fhm Restaurant & Roaster,"Arabic, Grills"
Hot Breads,"Bakery and Cakes, Breakfast, Sandwiches"
Kabila,Indian
Griller Grill'O,"Grills, Pizza, American"
The Lab Cafe,"Sandwiches, Breakfast, Burgers"
By The Biryani,Indian
Tasty Ooo's,"Desserts, Beverages, Cafe"
New Shanghai,"Asian, Soups, Chinese"
Pasta & Co,International
Biryani Blues,Indian
Layali Al Sham,"Arabic, Lebanese"
Roken Alkbab Restaurant,"Arabic, Lebanese, Egyptian"
Chubby Cookies,"Desserts, American"
Raptors Chicken Restaurant,"American, Burgers, Fast Food"
Chaat Masala Cafeteria,Indian
Healthy Life Restaurant,"Healthy, Sandwiches, Burgers"
khubz & Meleh Restaurant,"Lebanese, Arabic"
Solo Burger,"Burgers, Beverages"
Good Vibes Coffee,"Healthy, Sandwiches, Breakfast"
Grano Coffee,"Cafe, Sandwiches, Breakfast"
Tea Junction Cafe,"Burgers, Cafe"
Edo Sushi & Poke,"Seafood, Asian, Healthy"
Little Mexico,"Mexican, Pizza, Breakfast"
Darjeeling Cafe,"Chinese, Indian, Asian"
KIT CAFE,"Cafe, Desserts, International"
iBakery Cafe,"Cafe, Desserts"
Grand Abshar Restaurant,"Fast Food, Iranian"
Suzan,
Crystal Restaurant,"International, Arabic, Pizza"
Rang,Indian
Griller,"Grills, Pizza, American"
Gerard Truck,"Breakfast, Cafe, Sandwiches"
Guylian,"Cafe, Desserts, International"
Tasty Bites Cafeteria,"Burgers, Sandwiches, American"
TooT W Karaz,"Beverages, Desserts"
Wake Up Square Cafe,"Desserts, International, Cafe"
Jebal Al Atlas Restaurant,"Arabic, Sandwiches"
Baba Kabab,"Arabic, Iranian"
Skincare,Cosmetics
Ice Lab,"Desserts, Frozen Yogurt, Cafe"
Pickls N Fries,"Grills, American, Burgers"
We Flowers,Flowers
Wales Cafe,"Burgers, Sandwiches, American"
Grub Shack Express,"Indian, Asian, Chinese"
Dashy Delight Sweets,"Desserts, Beverages, Cafe"
Master's Craft,"Cafe, International"
